question_id,category,gold,qwen_choice,qwen_correct,gemini_choice,gemini_correct,jev_selected_model,jev_error,laya_selected_model,laya_error,jev_correct,laya_correct,oracle_correct
11249,philosophy,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11274,philosophy,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11318,engineering,D,D,True,J,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
11322,engineering,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11348,engineering,J,J,True,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
11393,engineering,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11395,engineering,B,,False,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
11411,engineering,I,,False,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
11420,engineering,D,D,True,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
11650,engineering,I,F,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
11682,engineering,I,I,True,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
11770,engineering,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11811,engineering,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
11844,engineering,A,,False,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
11870,engineering,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
11889,engineering,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11892,engineering,A,,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
11924,engineering,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11982,engineering,G,G,True,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
12019,engineering,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
12054,engineering,A,,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
12155,engineering,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
